State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nominated,18,5,0,23
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nomination Rejected,7,1,0,8
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Withdrawn,2,0,0,2
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Contested,9,4,0,13
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Forfeited Deposit,9,2,0,11
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - General,753690,800809,111,1554610
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Overseas,19,4,0,23
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Service,2379,141,0,2520
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Total,756088,800954,111,1557153
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - General,560845,582168,0,1143013
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Overseas,0,0,0,0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Proxy,NA,NA,NA,0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Postal,NA,NA,NA,22774
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Total,NA,NA,NA,1165787
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Polling Percentage,NA,NA,NA,74.87
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Votes Polled On Evm,NA,NA,NA,1143013
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Deducted Votes From Evm,NA,NA,NA,50205
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1092808
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Postal Votes Counted,NA,NA,NA,22774
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Postal Votes Deducted,NA,NA,NA,1607
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Valid Postal Votes,NA,NA,NA,21167
